id,release_date,movie,production_budget,domestic_gross,worldwide_gross,worldwide_roi,roi_category,movie_year,tconst,primary_title,original_title,start_year,runtime_minutes,genres
31,"Nov 9, 2012",Dangerous Liaisons,24200000,17000,10447579,43.171814049586786,low,Dangerous Liaisons (2012),tt2071441,Dangerous Liaisons,Wi-heom-han gyan-gye,2012.0,110.0,"Drama,Mystery,Romance"
36,"Nov 25, 2016",Miss Sloane,18000000,3500605,7719630,42.886833333333335,low,Miss Sloane (2016),tt4540710,Miss Sloane,Miss Sloane,2016.0,132.0,"Drama,Thriller"
3,"Jun 7, 2019",Dark Phoenix,350000000,42762350,149762350,42.78924285714286,low,Dark Phoenix (2019),tt6565702,Dark Phoenix,Dark Phoenix,2019.0,113.0,"Action,Adventure,Sci-Fi"
10,"Jun 10, 2016",Genius,17000000,1361045,7265283,42.736958823529406,low,Genius (2016),tt1703957,Genius,Genius,2016.0,104.0,"Biography,Drama"
35,"Mar 18, 2016",Midnight Special,18000000,3712282,7680250,42.66805555555555,low,Midnight Special (2016),tt2649554,Midnight Special,Midnight Special,2016.0,112.0,"Action,Drama,Mystery"
63,"Nov 27, 2013",Black Nativity,17500000,7018188,7285135,41.62934285714286,low,Black Nativity (2013),tt1425922,Black Nativity,Black Nativity,2013.0,93.0,"Drama,Family,Music"
67,"Oct 26, 2012",Chasing Mavericks,20000000,6002756,8300821,41.504104999999996,low,Chasing Mavericks (2012),tt1629757,Chasing Mavericks,Chasing Mavericks,2012.0,116.0,"Biography,Drama,Sport"
65,"Nov 18, 2016",Bleed for This,16000000,5083906,6603926,41.2745375,low,Bleed for This (2016),tt1620935,Bleed for This,Bleed for This,2016.0,117.0,"Biography,Drama,Sport"
5,"Dec 25, 2018",Destroyer,9000000,1533324,3681096,40.90106666666667,low,Destroyer (2018),tt7137380,Destroyer,Destroyer,2018.0,121.0,"Action,Crime,Drama"
19,"Aug 16, 2013",Paranoia,40000000,7388654,16340767,40.8519175,low,Paranoia (2013),tt1413495,Paranoia,Paranoia,2013.0,106.0,"Drama,Thriller"
48,"Mar 4, 2011",Take Me Home Tonight,19000000,6928068,7576604,39.87686315789474,low,Take Me Home Tonight (2011),tt0810922,Take Me Home Tonight,Take Me Home Tonight,2011.0,97.0,"Comedy,Drama,Romance"
32,"Mar 6, 2015",Unfinished Business,35000000,10219501,13214051,37.75443142857143,low,Unfinished Business (2015),tt2358925,Unfinished Business,Unfinished Business,2015.0,91.0,"Comedy,Drama"
